pair,a,b,observed_count,lift,confidence,blocks,is_block_bridge
51-55,51,55,37,1.516756,high,41_56,False
34-55,34,55,34,1.397012,high,31_40|41_56,False
13-22,13,22,33,1.364429,high,11_20|21_30,True
01-47,1,47,30,1.348706,high,1_10|41_56,False
33-43,33,43,32,1.34596,high,31_40|41_56,False
39-54,39,54,33,1.324466,high,31_40|41_56,False
26-35,26,35,36,1.321185,high,21_30|31_40,False
02-52,2,52,31,1.311697,high,1_10|41_56,False
09-10,9,10,27,1.279684,high,1_10,False
35-48,35,48,33,1.279531,high,31_40|41_56,False
07-34,7,34,31,1.277268,high,1_10|31_40,False
07-29,7,29,34,1.275643,high,1_10|21_30,True
03-31,3,31,31,1.272242,high,1_10|31_40,False
24-32,24,32,35,1.271107,high,21_30|31_40,False
13-15,13,15,33,1.253532,high,11_20,False
02-49,2,49,31,1.250348,high,1_10|41_56,False
08-44,8,44,31,1.245191,medium,1_10|41_56,False
32-37,32,37,34,1.240586,medium,31_40,False
05-32,5,32,34,1.231048,medium,1_10|31_40,False
35-36,35,36,33,1.228569,medium,31_40,False
12-37,12,37,30,1.225651,medium,11_20|31_40,False
01-32,1,32,29,1.219215,medium,1_10|31_40,False
10-20,10,20,25,1.215507,medium,11_20|1_10,False
23-32,23,32,31,1.214209,medium,21_30|31_40,False
29-46,29,46,33,1.213879,medium,21_30|41_56,True
32-47,32,47,29,1.213823,medium,31_40|41_56,False
31-38,31,38,30,1.21143,medium,31_40,False
39-41,39,41,29,1.210767,medium,31_40|41_56,False
15-40,15,40,33,1.208939,medium,11_20|31_40,False
05-07,5,7,33,1.205862,medium,1_10,False
33-45,33,45,30,1.200974,medium,31_40|41_56,False
19-25,19,25,29,1.19726,medium,11_20|21_30,True
30-44,30,44,32,1.192798,medium,21_30|41_56,True
34-48,34,48,29,1.192483,medium,31_40|41_56,False
15-38,15,38,30,1.19177,medium,11_20|31_40,False
04-42,4,42,29,1.191616,medium,1_10|41_56,False
08-29,8,29,31,1.191145,medium,1_10|21_30,True
14-50,14,50,29,1.190707,medium,11_20|41_56,True
07-14,7,14,27,1.189637,medium,11_20|1_10,False
22-45,22,45,28,1.18804,medium,21_30|41_56,True
